index_dec,char,replaced_char
842,пр,寸
844,Гх,婚
845,зд,勲
846,лг,富
847,Гд,才
848,Мн,答
850,сб,察
851,ов,校
852,;,展
853,шу,位
854, Р,働
855,?,因
856,Зн,燃
857,Го,奇
858,кл,壮
859,а ,営
860,З,販
861,ди,促
863,Из,松
864,вь,智
865, б,彦
866,И,暢
867,гу,泰
868,Ск,鈴
869,бм,田
870, В,慎
871,К,紀
872,Вп,塚
873,ор,薮
874,р ,崎
875,ла,也
876,Л,渋
877,сл,谷
878,си,佐
879,шк,藤
880,рс,浩
881,М,俊
882,ыш,弘
883,ую,宮
884,Н,孝
885,О,雅
886,П,恭
887,Мы,肥
888,Р,窪
889,С,剛
890,ки,春
891,ее,溝
892,сю,垂
893,й ,清
894,ми,徳
895,лв,表
896,рж,示
897,по,択
898,зе,療
899,Т,費
900,ут,刀
901,У,、
902, ,
903,Х,厚
904,ку,衣
905,оу,軽
906,бо,黄
907,Ч,／
908,пы,素
909, О,甘
910,вр,館
911,тх,蹴
912,чн,皆
913,х ,付
914,мп,潜
915, п,龍
916,иу,押
917,ии,頂
918,У ,伏
919,Ни,駄
920,уп,済
922,Ш,検
924,га,公
925,Ай,払
926,Э,庫
927,жт,呼
928,ящ,月
929, е,固
930,вч,連
931,в.,＆
932,Уж,陽
933,Я,欽
934,а,寺
935,б,澤
936,Ты,堀
937,ьц,矢
938,Ус,哲
939,в,樋
940,Ил,求
941,оц,技
942,яс,吉
943,Чт,玄
944,о ,斎
945,ты,隆
946,Де,秀
947,Он,握
948,г,姐
949, ш,威
950,д,慰
951,е,井
952,ед,域
953,од,逸
954,Иб,員
955,Св,陰
956,ап,永
957,оч,越
958,ж,閉
959,Ст,円
960,Па,宴
961,з,延
962,лу,怨
963,и,縁
964,я ,汚
965,ищ,央
966,Би,奥
967,ит,往
968,шн,横
969,й,沖
970,дц,恩
971,к,穏
973,л,仮
974,зу,価
975,То,快
976,Жи,怪
977,ды,戒
978,м,改
979,оя,灰
980,ай,崖
981,н,概
982,Ко,涯
983,о,鎧
984,п,核
985,ка,獲
986,р,閣
987,с,隔
988,т,額
989,лд,割
990,у,滑
991,гл,寒
992,ус,勧
993,ув,巻
994,ф,慎
995,Вс,歓
996,ещ,汗
997,нг,監
998,х,管
999,ц,艦
1000,ч,観
1001,Са,還
1002, д,陥
1003,но,眼
1004,Эд,喜
1005,пц,基
1006,иц,寄
1007,хв,希
1008,ро,忌
1009,ей,棄
1010,Ин,祈
1011,пи,規
1012,сь,偽
1013,ш,擬
1014,Чё,犠
1015,Ме,疑
1016,По,客
1017,щ,脚
1018,От,虐
1019,ец,丘
1020,йа,仇
1021,к:,休
1022,аж,泣
1023,ы,旧
1024,ёл,居
1025,ь,拒
1026,Ху,拠
1027,э,挙
1028,ия,虚
1029,..,許
1030, П,競
1031,м.,共
1032,"ю,",凶
1033,Сэ,協
1034,Тр,境
1035,яд,怯
1036,ал,狂
1037,Ле,胸
1038,ющ,脅
1039,вм,郷
1040,рю,勤
1041,Пу,均
1042,ьс,筋
1043,ю,緊
1044,я,九
1045,"к,",苦
1046,Оп,駆
1047,ис,具
1048,Тё,愚
1049,лк,偶
1050,чё,屈
1051, Ч,掘
1053,Фо,君
1054,ё,訓
1055,Гь,群
1056,оз,係
1057,ар,刑
1058,тр,契
1059,им,敬
1060,—,系
1061,вз,継
1062,ою,隙
1063,ях,欠
1064,н ,穴
1065,ёп,兼
1066,то,堅
1067,хя,嫌
1068,вы,建
1069,…,拳
1070,та,肩
1071,иб,賢
1072,"ч,",験
1073,Ли,厳
1074,ры,幻
1075,шё,源
1076,нз,舷
1077,нн,個
1078,«,戸
1079,Ум,故
1080,»,枯
1081,ко,五
1082,Яв,悟
1083,Ть,誤
1084,Ц,交
1085,ОК,后
1086,фу,慌
1087,Сб,皇
1088,нб,肯
1089,е ,航
1090,ца,衡
1091,！？,講
1092,？！,鋼
1094, -,劫
1095,ан,号
1096,ны,豪
1097,лз,酷
1098,л ,骨
1099,ып,頃
1100,Бы,恨
1101,а-,昏
1102,йн,魂
1103,Гы,差
1104,-х,査
1105,лл,鎖
1106,ы ,塞
1107,зв,妻
1108, у,災
1109,сч,砕
1110,ущ,砦
1111,я-,材
1112,о-,際
1113,Ве,三
1114,м ,惨
1115,пк,産
1116,ря,賛
1117,Чу,斬
1118,на,屍
1119,У-,糸
1120,во,紙
1121, а,視
1122, И,慈
1123,ри,辞
1124, Г,室
1125, К,謝
1126,А-,釈
1127,л:,若
1128,и ,寂
1129,дк,殊
1130,лр,狩
1131,ви,種
1132,щи,首
1133,Не,授
1134,ог,収
1135, и,習
1136,зл,舟
1137,-к,週
1138,Эк,充
1139,Ос,十
1140,-а,縦
1141,пу,祝
1142,-т,述
1144,Д-,純
1145,лп,除
1146,и-,渉
1147,вт,焦
1148,еч,照
1149, т,省
1150,щу,衝
1151,ье,詳
1152,ие,貧
1153,Со,冗
1154,к.,杖
1155,Ч-,浄
1156,ща,師
1157,дм,触
1158,О-,辱
1159,зы,寝
1160,ня,臣
1161,ид,震
1162,-в,孕
1163,эт,迅
1164,ыб,図
1165,т ,吹
1166,Т-,帥
1167,-з,推
1168,ре,衰
1169,ге,瀬
1170,зб,征
1171,чл,整
1172,з ,晴
1173,ощ,牲
1174,вс,盛
1175,еж,西
1176,юд,誠
1177,жь,隻
1178,ся,席
1179,ик,惜
1180,Н-,斥
1181,е-,析
1182,рт,責
1183,тл,折
1184,Эй,占
1185,бу,専
1186,ыи,泉
1187,Ла,線
1188,ех,祖
1189,Э-,粗
1190,Ре,組
1191,Ма,僧
1192,яю,双
1193,ь-,倉
1194,ё-,遭
1195,щ ,憎
1196,Им,側
1197,И-,則
1198,м-,捉
1199,йщ,束
1200,Б-,俗
1201,С-,尊
1202,ич,損
1203, ж,太
1204,К-,汰
1205, ч,堕
1206,-с,妥
1207,Та,怠
1208,-д,戴
1209,Об,台
1210,жа,第
1211,хн,叩
1212,"ц,",誰
1213,ек,鍛
1215,т-,暖
1216,бр,段
1217,тц,談
1218,жё,値
1219,Сц,遅
1220,ёс,築
1221,-ш,逐
1222,ю ,宙
1223,ат,柱
1224,ыг,注
1225,у-,駐
1226,Е-,著
1227,дь,兆
1228,Бл,張
1229,ву,徴
1230,Тв,超
1231,ил,勅
1232,-о,墜
1233, Б,低
1234,еш,庭
1235,к-,提
1236,ст,適
1237,ен,登
1238,Ан,途
1239,ц-,努
1240,яж,奴
1241,зю,東
1242,ыл,盗
1243,Бо,等
1244,г-,峠
1245,юю,特
1246,Ши,独
1247,ея,届
1248,йс,鈍
1249,тв,南
1250,В-,軟
1251,ив,汝
1252,гр,忍
1253,уй,悩
1254,Г-,脳
1255,не,拝
1256,ьн,排
1257,ёг,背
1258,нч,白
1259,дл,迫
1261,й-,八
1262,ле,伐
1263,ям,判
1264,Те,犯
1265,ём,繁
1266,фа,番
1267, в,蛮
1268, Н,卑
1269,чи,否
1270,-е,扉
1271,-у,批
1272,Ра,比
1273,гс,避
1274,ые,尾
1275,зя,評
1276,Че,貧
1277,Эт,布
1278,чо,普
1279,См,副
1280,ыз,服
1281,-н,腹
1282,д-,憤
1283,ть,粉
1284,зь,並
1286,же,蔑
1287,-л,弁
1288,вд,保
1290,Кр,母
1291,ыв,崩
1292,ят,抱
1293,мы,豊
1294,лш,坊
1295,ло,妨
1296,П-,忙
1297,-г,膨
1298,-Н,没
1299,-И,奔
1300,Пе,妹
1301,рв,万
1302,Ес,魅
1303,Ну,密
1304,тб,盟
1305,еб,迷
1306,ёр,毛
1307,ял,黙
1308,Од,問
1309,ци,役
1310,ъя,約
1311, Ж,薬
1312,лж,癒
1313,йч,由
1314,Хл,誘
1315,Дв,遊
1316,Ше,与
1317,ли,預
1318,тк,幼
1320,ю-,揺
1321,шь,養
1322,от,抑
1323,ух,翼
1324,бы,雷
1325,Кх,嵐
1326,го,覧
1327,Ва,留
1328,Но,侶
1329,су,慮
1330,нт,量
1331,да,緑
1332,р.,林
1333,гд,臨
1334,нь,涙
1335,ож,類
1336,рь,励
1337,ва,列
1338,де,劣
1339,мн,裂
1340,шо,恋
1341,лю,練
1342,гя,労
1343,ыц,狼
1344, З,六
1345,до,録
1346,ще,論
1347,и:,緒
1348,нс,恥
1349,мт,槍
1350,Иш,益
1351,Хе,慮
1352,юп,点
1353,бв,狙
1354,вв,虫
1355,уе,惑
1356,рк,読
1357,уб,媒
1358,ош,標
1359,ый,嬢
1360,Ру,暇
1361,ыд,派
1362,Пл,赦
1363, х,迂
1364,ох,臆
1365,ам,葛
1366,ьг,星
1367,ок,逢
1368,ху,象
1369,як,其
1370,ск,裾
1371,ои,鬼
1372, щ,吸
1373,Хо,覆
1374,зк,歳
1375,Уг,訳
1376,Оч,鹿
1377,мг,経
1378,ае,香
1379,уд,潮
1380,йд,偵
1381, л,秩
1382,ет,貫
1383, э,至
1384,рё,花
1385, о,耕
1386,ше,曲
1387,кр,園
1388,уж,笠
1389,ён,咲
1390,че,奈
1391,их,恵
1392,Эв,酒
1393,лё,飲
1394,чт,商
1395,хе,芭
1396,еи,泥
1397,ьё,亜
1398,му,店
1399,Вр,剃
1400,ах,趣
1401, с,株
1402,ын,社
1403,об,草
1404,ол,毅
1405,ег,国
1406, з,府
1407,мо,潘
1408,хр,樹
1409,ас,眞
1410,Да,柴
1411,ль,鮎
1412,би,里
1413,рн,輔
1414,ая,鶴
1415,бе,塩
1416,тч,沢
1417, н,晶
1418,сп,亮
1419,ду,笹
1420,зо,岡
1421,па,蔵
1422,сн,津
1423,ое,沼
1424,рх,介
1425,ес,稲
1426,Бр,之
1427,сё,嶋
1428,се,麻
1429,рд,坂
1430,ьт,吾
1431,из,演
1432,За,絵
1433,яв,督
1434,це,芳
1435,Ка,康
1436,вл,．
1437,к ,淳
1438,жу,撮
1439,ну,晃
1440,дс,茂
1441,На,昌
1442,ад,枝
1443,ею,俣
1444,со,啓
1445,ру,馬
1446,ем,宏
1447,Во,聡
1448,ач,梁
1449, к,洋
1450, м,博
1451,ой,飯
1452, У,篤
1453,аг,竹
1454,дв,浅
1455,Ха,縛
1456,са,暮
1457,ин,荷
1458,зж,獄
1459,ул,堂
1460,вп,宇
1461,он,際
1462,ер,借
1463,ёд,測
1464,бл,慢
1465,ха,敷
1466,уз,矛
1467,дх,憶
1468,Бе,匹
1469,Пр,維
1470, М,題
1471,аш,棋
1472,Ох,版
1473,ют,錬
1474,", ",ｚ
1475, Д,雇
1476,ья,給
1477,ги,料
1478,ля,芸
1479,ос,便
1480,ти,募
1481,ме,升
1482,ма,匠
1483,иш,溜
1484, р,ｍ
1485, ц,＿
1486,Сл,崇
1487,уш,針
1488,пе,＾
1489,аю,杯
1490,эд,巡
1491, Т,繊
1492,Й,党
1493,жи,毒
1494,те,絡
1495,бя,雑
1496,жд,廃
1497,ёт,猶
1498,вн,構
1499,ий,停
1500,др,滞
1501,уг,秤
1502,!,
1503,",",
1504,Б,
1505,В,
1506,Г,
1507,Д,
1508,Е,
1509,Ё,
1510,Ж,
